risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
43,WS/33508/2025/00219,Kerala,ERNAKULAM,ADV DEAN KURIAKOSE,Road Construction,Construction of concrete road from Vivekanand Marg to Andouli in ERNAKULAM,2371070.75,2025-03-01,2025-09-20,United Rural Builders,Completed,1101828.375,20,state + work_category,115.19419936884454,38.39806645628151,20,3,0.15,15.0,WS/25314/2024/00665,Construction of concrete road from Vivekanand Marg to Andouli in PATNA_SAHIB,0.8505148673899865,85.05148673899865,17.27912990532668,4.5,21.262871684749662,43.04200159007634,Medium,98.28109201213347,True,Text Similarity,Project description has 0.85 semantic similarity with project WS/25314/2024/00665.,16.468805180763457,0
44,WS/37471/2023/00571,West Bengal,MURSHIDABAD,ADHIKARI SOUMENDU,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, MURSHIDABAD",845871.13,2023-05-26,2024-06-19,New India Construction Co.,New Recommendation,400792.35,11,constituency + work_category,111.04971938710908,37.01657312903636,11,1,0.09090909090909091,9.090909090909092,WS/69682/2025/00501,"Water supply pipeline extension to Kisan Nagar area, MURSHIDABAD",0.9434437179388704,94.34437179388703,16.657457908066363,2.7272727272727275,23.58609294847176,42.97082358381085,Medium,90.79878665318503,True,Text Similarity,Project description has 0.94 semantic similarity with project WS/69682/2025/00501.,14.38549578698507,0
45,WS/14385/2024/00535,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, KANPUR",551210.16,2024-05-25,2025-04-29,Jai Hind Infrastructure,New Recommendation,633314.98,6,constituency + work_category,-12.964294638980425,0.0,6,4,0.6666666666666666,66.66666666666666,WS/88311/2024/00411,"Water supply pipeline extension to Andouli area, AURANGABAD_BR",0.9122094275024435,91.22094275024435,0.0,19.999999999999996,22.805235687561087,42.80523568756108,Medium,98.58442871587462,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/88311/2024/00411.,9.03167131679858,0
46,WS/24801/2023/00448,Kerala,ATTINGAL,ADV DEAN KURIAKOSE,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, ATTINGAL",1293928.02,2023-10-21,2024-06-21,Shree Balaji Construction Co.,Ongoing,977273.97,7,constituency + work_category,32.40176856444872,10.800589521482907,7,3,0.42857142857142855,42.857142857142854,WS/27324/2023/00885,"Construction of additional classroom at Gandhi Chowk school, ATTINGAL",1.0,100.0,4.8602652846673084,12.857142857142856,25.0,42.71740814181017,Medium,95.44994944388272,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/27324/2023/00885.,74.07473833431823,1
47,WS/89988/2025/00249,Bihar,AURANGABAD_BR,MEERA IYER,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_BR",447885.19,2025-06-03,2025-12-01,Ganesh Engineering Works,New Recommendation,298203.85,12,constituency + work_category,50.19430164969367,16.731433883231226,12,4,0.3333333333333333,33.33333333333333,WS/79501/2024/00545,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_BR",1.0,100.0,7.529145247454052,9.999999999999998,25.0,42.52914524745405,Medium,93.02325581395348,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/79501/2024/00545.,67.96640645914668,1
48,WS/28030/2024/00133,Maharashtra,PUNE,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Covered drain construction from Shanti Nagar to Ram Nagar, PUNE",1156052.38,2024-03-15,2025-01-17,Ganesh Engineering Works,Ongoing,715620.8999999999,6,constituency + work_category,61.54536291491767,20.515120971639224,6,2,0.3333333333333333,33.33333333333333,WS/86568/2024/00386,"Covered drain construction from Shanti Nagar to Bazaar Road, PUNE",0.9292328541166996,92.92328541166997,9.23180443723765,9.999999999999998,23.23082135291749,42.462625790155144,Medium,89.78766430738119,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/86568/2024/00386.,5.770322188907909,0
49,WS/20831/2024/00834,Kerala,ERNAKULAM,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, ERNAKULAM",657236.83,2024-04-11,2024-06-15,Om Sai Infra Pvt Ltd,Completed,373343.33,5,constituency + work_category,76.04086565574907,25.346955218583027,5,1,0.2,20.0,WS/14965/2023/00377,"Installation of handpump at Ram Nagar village, ERNAKULAM",1.0000000000000004,100.0,11.406129848362362,6.0,25.0,42.40612984836236,Medium,87.76541961577351,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/14965/2023/00377.,17.9255797383189,0
50,WS/70210/2024/00514,Bihar,AURANGABAD_BR,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar light installation near Subhash Nagar hanuman mandir, AURANGABAD_BR",443795.72,2024-09-10,2025-01-15,Ganesh Engineering Works,Completed,298203.85,12,constituency + work_category,48.82293437861382,16.27431145953794,12,4,0.3333333333333333,33.33333333333333,WS/61576/2023/00656,"Solar light installation near Subhash Nagar hanuman mandir, AURANGABAD_BR",1.0000000000000004,100.0,7.323440156792073,9.999999999999998,25.0,42.323440156792074,Medium,92.92214357937311,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/61576/2023/00656.,20.845585715621905,0
51,WS/63363/2024/00415,Bihar,AURANGABAD_BR,ADITYA YADAV,School Building Repair,"Repair and renovation of Govt. School building at Station Road, AURANGABAD_BR",1701599.38,2024-11-09,2025-01-10,Bharat Infra Solutions,Ongoing,816376.1,9,constituency + work_category,108.4332674609166,36.144422486972196,9,1,0.1111111111111111,11.11111111111111,WS/68402/2024/00600,"Repair and renovation of Govt. School building at Station Road, ERNAKULAM",0.9053992261255397,90.53992261255397,16.26499011913749,3.333333333333333,22.63498065313849,42.233304105609314,Medium,94.74216380182003,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/68402/2024/00600.,11.55651951271674,0
52,WS/59106/2024/00809,Maharashtra,HINGOLI,SANJAY DESHMUKH,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, HINGOLI",337579.05,2024-01-21,2024-10-27,National Builders & Contractors,Ongoing,321625.92,7,constituency + work_category,4.960150599802406,1.6533835332674687,7,4,0.5714285714285714,57.14285714285714,WS/62286/2024/00674,"Installation of streetlights at Ram Nagar chowk, HINGOLI",0.9709683285847083,97.09683285847083,0.744022589970361,17.142857142857142,24.27420821461771,42.16108794744521,Medium,95.34883720930233,True,Text Similarity,Project description has 0.97 semantic similarity with project WS/62286/2024/00674.,7.506648749777116,0
53,WS/63950/2025/00807,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, KANTHI",585457.54,2025-02-03,2025-10-16,Jai Hind Infrastructure,New Recommendation,516926.645,6,constituency + work_category,13.257373297133872,4.4191244323779575,6,3,0.5,50.0,WS/26637/2025/00271,"Installation of streetlights at Kisan Nagar chowk, KANTHI",1.0,100.0,1.988605994570081,15.0,25.0,41.98860599457008,Medium,96.56218402426694,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/26637/2025/00271.,75.55349401503548,1
54,WS/61773/2023/00288,Maharashtra,PUNE,ABHIJIT GANGOPADHYAY,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, PUNE",2401877.12,2023-05-22,2023-10-15,Jai Hind Infrastructure,Sanctioned,1490771.79,6,constituency + work_category,61.11635168518986,20.372117228396622,6,2,0.3333333333333333,33.33333333333333,WS/62436/2023/00842,"Widening and strengthening of road near Ambedkar Colony village, AURANGABAD_BR",0.9090276137733864,90.90276137733863,9.16745275277848,9.999999999999998,22.72569034433466,41.89314309711314,Medium,93.22548028311427,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/62436/2023/00842.,5.962571692143032,0
55,WS/52413/2023/00296,Uttar Pradesh,KANPUR,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Andouli, KANPUR",3794740.46,2023-10-24,2024-02-27,New India Construction Co.,Ongoing,2130894.795,8,constituency + work_category,78.08201835698792,26.027339452329308,8,2,0.25,25.0,WS/25324/2023/00593,"Construction of community hall at Andouli, LUCKNOW",0.9015733867878011,90.1573386787801,11.712302753548189,7.5,22.539334669695027,41.75163742324321,Medium,92.01213346814964,True,Text Similarity,Project description has 0.90 semantic similarity with project WS/25324/2023/00593.,6.202610658526853,0
56,WS/15014/2023/00036,West Bengal,KANTHI,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"Widening and strengthening of road near Ram Nagar village, KANTHI",2290965.3,2023-12-24,2024-05-23,Jai Hind Infrastructure,New Recommendation,1526581.795,10,constituency + work_category,50.07157215575205,16.69052405191735,10,3,0.3,30.0,WS/99740/2025/00583,"Widening and strengthening of road near Ram Nagar village, KANTHI",1.0000000000000002,100.0,7.510735823362808,9.0,25.0,41.51073582336281,Medium,90.49544994944388,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/99740/2025/00583.,18.747717328780954,0
57,WS/93354/2023/00278,Kerala,IDUKKI,ABU TAHER KHAN,Road Construction,"Widening and strengthening of road near Kisan Nagar village, IDUKKI",2385075.81,2023-04-25,2023-10-21,United Rural Builders,New Recommendation,1266207.67,6,constituency + work_category,88.36371525059552,29.454571750198504,6,1,0.16666666666666666,16.666666666666664,WS/39035/2025/00733,"Widening and strengthening of road near Kisan Nagar village, MURSHIDABAD",0.9297607231671705,92.97607231671705,13.254557287589327,4.999999999999999,23.244018079179263,41.49857536676859,Medium,75.22750252780587,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/39035/2025/00733.,8.149121286910932,0
58,WS/22418/2025/00790,Bihar,GAYA,VIKRAM SINGH RATHORE,Road Construction,"CC road construction at Bazaar Road ward, GAYA",2011302.88,2025-06-19,2026-06-05,National Builders & Contractors,New Recommendation,1252226.57,9,constituency + work_category,60.61812839508747,20.20604279836249,9,3,0.3333333333333333,33.33333333333333,WS/61213/2024/00268,"CC road construction at Bazaar Road ward, IDUKKI",0.8934257712864033,89.34257712864033,9.09271925926312,9.999999999999998,22.335644282160082,41.4283635414232,Medium,95.14661274014156,True,Text Similarity,Project description has 0.89 semantic similarity with project WS/61213/2024/00268.,7.9316351073147064,0
59,WS/62286/2024/00674,Maharashtra,HINGOLI,RAVI SHANKAR PRASAD JI,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, HINGOLI",321625.92,2024-05-13,2024-11-19,National Builders & Contractors,Ongoing,321625.92,7,constituency + work_category,0.0,0.0,7,4,0.5714285714285714,57.14285714285714,WS/59106/2024/00809,"Installation of streetlights at Shanti Nagar chowk, HINGOLI",0.9709683285847083,97.09683285847083,0.0,17.142857142857142,24.27420821461771,41.417065357474854,Medium,94.64105156723963,True,Text Similarity,Project description has 0.97 semantic similarity with project WS/59106/2024/00809.,6.9437346115334115,0
60,WS/37504/2023/00613,Kerala,ATTINGAL,ADV ADOOR PRAKASH,Drainage / Nala,"Covered drain construction from Shanti Nagar to Ram Nagar, ATTINGAL",1071133.69,2023-08-24,2024-02-16,Bharat Infra Solutions,Ongoing,507526.095,12,constituency + work_category,111.04997369642639,37.016657898808795,12,1,0.08333333333333333,8.333333333333332,WS/40007/2023/00017,"Covered drain construction from Ram Nagar to Andouli, AURANGABAD_MH",0.8900698343320986,89.00698343320987,16.65749605446396,2.4999999999999996,22.251745858302467,41.409241912766426,Medium,97.37108190091,True,Text Similarity,Project description has 0.89 semantic similarity with project WS/40007/2023/00017.,13.256514798401199,0
61,WS/41850/2023/00018,Maharashtra,AURANGABAD_MH,ADV ADOOR PRAKASH,Community Hall,"Construction of community hall at Ambedkar Colony, AURANGABAD_MH",3172444.45,2023-11-06,2024-10-07,National Builders & Contractors,Sanctioned,2216905.62,5,constituency + work_category,43.102368516707536,14.367456172235846,5,2,0.4,40.0,WS/43557/2023/00912,"Construction of community hall at Ambedkar Colony, BARAMULLAH",0.9110539682762739,91.10539682762739,6.465355277506131,12.0,22.776349206906847,41.24170448441298,Medium,93.83215369059657,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/43557/2023/00912.,4.738865454553047,0
62,WS/93021/2023/00582,West Bengal,HOWRAH,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, HOWRAH",346097.21,2023-10-07,2024-06-12,Progressive Engineers & Contractors,Sanctioned,301476.75,6,constituency + work_category,14.800630562721675,4.933543520907225,6,3,0.5,50.0,WS/35369/2024/00505,"Solar light installation near Andouli hanuman mandir, KANPUR",0.9599918737658264,95.99918737658264,2.2200945844082516,15.0,23.99979684414566,41.21989142855391,Medium,91.30434782608695,True,Text Similarity,Project description has 0.96 semantic similarity with project WS/35369/2024/00505.,5.739039810780236,0
63,WS/59735/2024/00007,Kerala,KOTTAYAM,ABHAY KUMAR SINHA,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, KOTTAYAM",435740.23,2024-09-28,2025-04-01,National Builders & Contractors,Sanctioned,366689.81,9,constituency + work_category,18.830744164938746,6.27691472164625,9,4,0.4444444444444444,44.44444444444444,WS/85197/2024/00419,"Installation of streetlights at Nehru Path chowk, KOTTAYAM",1.0000000000000002,100.0,2.8246116247408124,13.333333333333332,25.0,41.15794495807414,Medium,94.13549039433772,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/85197/2024/00419.,25.570973367632345,0
64,WS/12671/2023/00053,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,Solar Light Installation,"Solar light installation near Bazaar Road hanuman mandir, AURANGABAD_BR",435049.96,2023-05-12,2023-07-26,Ganesh Engineering Works,Ongoing,298203.85,12,constituency + work_category,45.89012180761585,15.296707269205282,12,4,0.3333333333333333,33.33333333333333,WS/51120/2023/00654,"Solar light installation near Bazaar Road hanuman mandir, IDUKKI",0.9686122570405129,96.8612257040513,6.883518271142377,9.999999999999998,24.215306426012823,41.098824697155194,Medium,84.73205257836199,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/51120/2023/00654.,4.930859542417512,0
65,WS/10841/2025/00808,Kerala,KOTTAYAM,ABU TAHER KHAN,Community Hall,"Construction of community hall at Shanti Nagar, KOTTAYAM",3371825.18,2025-11-08,2026-07-29,Deep Construction Co.,New Recommendation,2408036.685,6,constituency + work_category,40.023829412715116,13.34127647090504,6,2,0.3333333333333333,33.33333333333333,WS/92317/2025/00608,"Construction of community hall at Shanti Nagar, KOTTAYAM",1.0000000000000002,100.0,6.003574411907268,9.999999999999998,25.0,41.003574411907266,Medium,91.10212335692619,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/92317/2025/00608.,19.940859443591847,0
66,WS/60755/2023/00716,West Bengal,HOWRAH,ABU TAHER KHAN,Solar Light Installation,"Solar street light at Gandhi Chowk chowk parisar, HOWRAH",354752.45,2023-07-01,2024-07-14,Progressive Engineers & Contractors,Sanctioned,301476.75,6,constituency + work_category,17.67157832237478,5.89052610745826,6,3,0.5,50.0,WS/27895/2023/00245,"Solar street light at Gandhi Chowk chowk parisar, BARAMULLAH",0.9243912889472328,92.43912889472328,2.650736748356217,15.0,23.10978222368082,40.76051897203703,Medium,93.52881698685542,True,Text Similarity,Project description has 0.92 semantic similarity with project WS/27895/2023/00245.,6.494121755672501,0
67,WS/66370/2025/00109,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar street light at Ambedkar Colony chowk parisar, HOWRAH",345622.8,2025-08-21,2026-09-20,Progressive Engineers & Contractors,Ongoing,301476.75,6,constituency + work_category,14.6432685107558,4.881089503585267,6,3,0.5,50.0,WS/31694/2023/00875,"Solar street light at Ambedkar Colony chowk parisar, AURANGABAD_BR",0.9413295768741907,94.13295768741906,2.1964902766133703,15.0,23.533239421854766,40.729729698468134,Medium,90.3943377148635,True,Text Similarity,Project description has 0.94 semantic similarity with project WS/31694/2023/00875.,8.874685583164114,0
68,WS/25408/2024/00497,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Shanti Nagar village, KANTHI",738041.3,2024-06-30,2025-01-23,Progressive Engineers & Contractors,Ongoing,412863.83,27,state + work_category,78.76143327934541,26.253811093115136,27,4,0.14814814814814814,14.814814814814813,WS/41258/2025/00642,"Installation of handpump at Ram Nagar village, KANTHI",0.974384149280167,97.4384149280167,11.814214991901812,4.444444444444444,24.359603732004175,40.61826316835043,Medium,76.54196157735086,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/41258/2025/00642.,7.143369142976706,0
