unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/41051/2025/00202,Maharashtra,NANDURBAR(ST),ANITA JOSHI,Community Hall,"Construction of community hall at Nehru Path, NANDURBAR(ST)",2085403.79,25-10-2025,14-10-2026,New India Construction Co.,New Recommendation
WS/33999/2025/00849,Bihar,AURANGABAD_BR,RAJESH KUMAR SHARMA,Water Supply / Handpump,"Water supply pipeline extension to Ambedkar Colony area, AURANGABAD_BR",744269.71,23-02-2025,01-03-2026,Sri Lakshmi Contractors,Sanctioned
WS/39329/2025/00324,West Bengal,TAMLUK,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Construction of additional classroom at Nehru Path school, TAMLUK",1676121.61,22-01-2025,19-06-2025,Jai Hind Infrastructure,Completed
WS/64627/2024/00318,Bihar,PATNA_SAHIB,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar light installation near Bazaar Road hanuman mandir, PATNA_SAHIB",179785.09,02-02-2024,14-11-2024,New India Construction Co.,New Recommendation
WS/13809/2025/00572,Uttar Pradesh,KANPUR,ABDUL RASHID SHEIKH,Road Construction,Construction of concrete road from Ambedkar Colony to Station Road in KANPUR,2058708.7,03-11-2025,04-10-2026,National Builders & Contractors,Ongoing
WS/55252/2024/00703,Kerala,ERNAKULAM,MEERA IYER,Water Supply / Handpump,"Installation of handpump at Panchayat Bhavan Marg village, ERNAKULAM",343593.5,09-10-2024,23-10-2025,Jai Hind Infrastructure,Sanctioned
WS/88231/2023/00250,Uttar Pradesh,LUCKNOW,ADITYA YADAV,Solar Light Installation,"Solar street light at Station Road chowk parisar, LUCKNOW",172429.95,31-05-2023,16-05-2024,New India Construction Co.,New Recommendation
WS/86486/2025/00670,Jammu And Kashmir,JAMMU,ANITA JOSHI,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, JAMMU",195477.04,29-09-2025,02-11-2026,Jai Hind Infrastructure,Ongoing
WS/23937/2024/00563,Kerala,ATTINGAL,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Ram Nagar hanuman mandir, ATTINGAL",377793.99,11-07-2024,18-07-2025,National Builders & Contractors,Completed
WS/78920/2024/00457,Jammu And Kashmir,BARAMULLAH,VIKRAM SINGH RATHORE,Drainage / Nala,"Covered drain construction from Bazaar Road to Kisan Nagar, BARAMULLAH",388878.23,05-11-2024,28-11-2025,Sri Lakshmi Contractors,Sanctioned
WS/74868/2025/00668,Jammu And Kashmir,BARAMULLAH,ABDUL RASHID SHEIKH,School Building Repair,"Construction of additional classroom at Andouli school, BARAMULLAH",764313.55,23-03-2025,16-01-2026,Sri Lakshmi Contractors,Completed
WS/39041/2025/00123,Jammu And Kashmir,SRINAGAR,PRIYA VERMA,Streetlight Installation,"Installation of streetlights at Vivekanand Marg chowk, SRINAGAR",185391.19,08-09-2025,14-04-2026,Deep Construction Co.,New Recommendation
WS/14851/2024/00688,Kerala,ERNAKULAM,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Ambedkar Colony chowk parisar, ERNAKULAM",273496.12,13-11-2024,13-11-2025,Deep Construction Co.,New Recommendation
WS/58467/2024/00972,Jammu And Kashmir,BARAMULLAH,PRIYA VERMA,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",343881.79,07-03-2024,02-06-2024,Metro Civil Works Pvt Ltd,New Recommendation
WS/54681/2023/00116,Maharashtra,NANDURBAR(ST),AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"Widening and strengthening of road near Shanti Nagar village, NANDURBAR(ST)",2068390.0,07-11-2023,16-07-2024,Sri Lakshmi Contractors,Sanctioned
WS/48737/2024/00264,Kerala,ATTINGAL,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Construction of drainage/nala near Panchayat Bhavan Marg area, ATTINGAL",765974.22,03-09-2024,06-02-2025,Deep Construction Co.,Sanctioned
WS/16047/2025/00515,Maharashtra,PUNE,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, PUNE",793686.82,09-09-2025,22-12-2025,New India Construction Co.,Sanctioned
WS/97679/2025/00373,Bihar,AURANGABAD_BR,ANITA JOSHI,School Building Repair,"Repair and renovation of Govt. School building at Vivekanand Marg, AURANGABAD_BR",1795283.52,22-07-2025,18-08-2026,Shree Balaji Construction Co.,Completed
WS/52344/2023/00447,Jammu And Kashmir,SRINAGAR,ABHIJIT GANGOPADHYAY,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, SRINAGAR",449703.55,31-10-2023,28-08-2024,Sri Lakshmi Contractors,New Recommendation
WS/18849/2025/00791,Kerala,ERNAKULAM,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, ERNAKULAM",1938327.61,19-05-2025,27-12-2025,Progressive Engineers & Contractors,Sanctioned
WS/54540/2023/00754,Bihar,AURANGABAD_BR,AASHTIKAR PATIL NAGESH BAPURAO,Drainage / Nala,"Construction of drainage/nala near Station Road area, AURANGABAD_BR",478042.49,26-09-2023,16-03-2024,Bharat Infra Solutions,Ongoing
WS/58374/2025/00253,Kerala,ERNAKULAM,PRIYA VERMA,School Building Repair,"Construction of additional classroom at Ambedkar Colony school, ERNAKULAM",505722.78,22-06-2025,07-10-2025,Sri Lakshmi Contractors,New Recommendation
WS/69612/2025/00911,Maharashtra,HINGOLI,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, HINGOLI",12663789.2,18-12-2025,01-04-2026,Metro Civil Works Pvt Ltd,Completed
WS/68598/2024/00354,West Bengal,MURSHIDABAD,ABHAY KUMAR SINHA,School Building Repair,"Construction of additional classroom at Vivekanand Marg school, MURSHIDABAD",1021864.43,07-11-2024,23-08-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/45358/2023/00224,Kerala,ERNAKULAM,ADV K FRANCIS GEORGE,Community Hall,"Construction of community hall at Ram Nagar, ERNAKULAM",1766377.29,06-04-2023,09-11-2023,Metro Civil Works Pvt Ltd,New Recommendation
WS/29073/2024/00485,West Bengal,MURSHIDABAD,ADHIKARI SOUMENDU,Community Hall,"Multipurpose community centre building at Kisan Nagar panchayat, MURSHIDABAD",1669535.1,27-09-2024,25-01-2025,National Builders & Contractors,New Recommendation
WS/59355/2024/00831,Kerala,IDUKKI,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Subhash Nagar, IDUKKI",3314893.78,10-11-2024,02-03-2025,Progressive Engineers & Contractors,Ongoing
WS/20460/2024/00811,Jammu And Kashmir,SRINAGAR,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Nehru Path school, SRINAGAR",1277572.33,30-12-2024,24-04-2025,Progressive Engineers & Contractors,Ongoing
WS/88532/2025/00874,West Bengal,TAMLUK,VIKRAM SINGH RATHORE,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, TAMLUK",1133267.87,01-12-2025,14-10-2026,Shree Balaji Construction Co.,Ongoing
WS/98740/2024/00220,Uttar Pradesh,LUCKNOW,PRIYA VERMA,Road Construction,"Widening and strengthening of road near Station Road village, LUCKNOW",1308770.71,29-10-2024,30-04-2025,Jai Hind Infrastructure,Sanctioned
WS/43792/2024/00417,Jammu And Kashmir,SRINAGAR,MEERA IYER,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, SRINAGAR",522504.31,21-11-2024,03-02-2025,Metro Civil Works Pvt Ltd,Completed
WS/70693/2025/00856,Maharashtra,AURANGABAD_MH,PRIYA VERMA,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, AURANGABAD_MH",1130750.73,07-11-2025,01-12-2026,United Rural Builders,Completed
WS/78657/2024/00495,Kerala,IDUKKI,ABHIJIT GANGOPADHYAY,Road Construction,"CC road construction at Kisan Nagar ward, IDUKKI",994080.4,04-07-2024,23-07-2025,New India Construction Co.,Completed
WS/14050/2025/00981,Kerala,ATTINGAL,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, VARANASI",1598771.73,04-02-2025,16-06-2025,New India Construction Co.,Sanctioned
WS/21593/2024/00602,Jammu And Kashmir,BARAMULLAH,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Construction of additional classroom at Andouli school, BARAMULLAH",1783735.4,19-09-2024,08-05-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/29548/2023/00345,Jammu And Kashmir,BARAMULLAH,AASHTIKAR PATIL NAGESH BAPURAO,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, BARAMULLAH",262301.99,23-07-2023,10-07-2024,Progressive Engineers & Contractors,Sanctioned
WS/48103/2025/00678,Uttar Pradesh,VARANASI,MEERA IYER,Water Supply / Handpump,"Installation of handpump at Ambedkar Colony village, VARANASI",356961.15,03-03-2025,20-07-2025,Metro Civil Works Pvt Ltd,Completed
WS/94408/2023/00821,Kerala,IDUKKI,RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Water supply pipeline extension to Vivekanand Marg area, IDUKKI",707790.08,02-07-2023,17-02-2024,Ganesh Engineering Works,Completed
WS/82534/2024/00263,Bihar,PATNA_SAHIB,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, PATNA_SAHIB",148940.57,09-01-2024,02-02-2025,Om Sai Infra Pvt Ltd,Ongoing
WS/31090/2023/00304,Bihar,AURANGABAD_BR,ADV K FRANCIS GEORGE,Community Hall,"Construction of community hall at Kisan Nagar, AURANGABAD_BR",3879155.33,15-06-2023,05-02-2024,National Builders & Contractors,Sanctioned
WS/79391/2024/00214,Uttar Pradesh,KANPUR,VIKRAM SINGH RATHORE,Road Construction,"CC road construction at Kisan Nagar ward, KANPUR",811241.01,16-10-2024,13-07-2025,Shree Balaji Construction Co.,Completed
WS/99208/2024/00407,Uttar Pradesh,VARANASI,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, VARANASI",287636.71,30-10-2024,04-07-2025,Jai Hind Infrastructure,New Recommendation
WS/26632/2024/00567,Maharashtra,HINGOLI,ADHIKARI SOUMENDU,Road Construction,"CC road construction at Gandhi Chowk ward, HINGOLI",2001460.12,28-11-2024,21-06-2025,Sri Lakshmi Contractors,Sanctioned
WS/93674/2023/00905,Jammu And Kashmir,SRINAGAR,ADHIKARI SOUMENDU,Road Construction,"Widening and strengthening of road near Andouli village, SRINAGAR",4471498.52,12-04-2023,16-11-2023,Ganesh Engineering Works,Ongoing
WS/42088/2025/00914,Bihar,AURANGABAD_BR,SANJAY DESHMUKH,Community Hall,"Construction of community hall at Kisan Nagar, AURANGABAD_BR",13905577.07,27-02-2025,19-05-2025,Jai Hind Infrastructure,Completed
WS/35006/2023/00176,Uttar Pradesh,KANPUR,ABU TAHER KHAN,Solar Light Installation,"Solar street light at Andouli chowk parisar, KANPUR",338254.41,03-05-2023,20-04-2024,Deep Construction Co.,Completed
WS/42728/2023/00420,West Bengal,MURSHIDABAD,ADV ADOOR PRAKASH,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, MURSHIDABAD",369439.56,28-12-2023,10-06-2024,Ganesh Engineering Works,Ongoing
WS/16054/2024/00757,Jammu And Kashmir,BARAMULLAH,RAVI SHANKAR PRASAD JI,School Building Repair,"Repair and renovation of Govt. School building at Bazaar Road, BARAMULLAH",1372095.45,20-02-2024,20-02-2025,Sri Lakshmi Contractors,Ongoing
WS/15695/2025/00004,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, AURANGABAD_BR",535402.93,15-08-2025,08-04-2026,Jai Hind Infrastructure,New Recommendation
WS/30144/2023/00770,Kerala,ERNAKULAM,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, ERNAKULAM",2315198.79,24-04-2023,08-04-2024,Shree Balaji Construction Co.,Ongoing
WS/70940/2025/00536,Kerala,KOTTAYAM,ABHIJIT GANGOPADHYAY,Streetlight Installation,"Installation of streetlights at Station Road chowk, KOTTAYAM",366689.81,08-03-2025,16-06-2025,National Builders & Contractors,New Recommendation
WS/44099/2025/00051,Uttar Pradesh,BADAUN,ABHAY KUMAR SINHA,Water Supply / Handpump,"Installation of handpump at Subhash Nagar village, BADAUN",500028.94,04-09-2025,27-06-2026,National Builders & Contractors,Completed
WS/50737/2025/00823,Kerala,ATTINGAL,RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Andouli area, ATTINGAL",1067997.28,02-12-2025,13-08-2026,Jai Hind Infrastructure,Completed
WS/87777/2023/00832,Maharashtra,HINGOLI,RAJESH KUMAR SHARMA,School Building Repair,"Construction of additional classroom at Subhash Nagar school, HINGOLI",651486.03,24-05-2023,21-09-2023,United Rural Builders,New Recommendation
WS/16564/2025/00346,Kerala,ATTINGAL,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, ATTINGAL",361812.2,26-12-2025,25-07-2026,Bharat Infra Solutions,Sanctioned
WS/19171/2025/00038,Maharashtra,AURANGABAD_MH,RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Water supply pipeline extension to Panchayat Bhavan Marg area, AURANGABAD_MH",703601.0,29-04-2025,06-10-2025,New India Construction Co.,Sanctioned
WS/25324/2023/00593,Uttar Pradesh,LUCKNOW,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Andouli, LUCKNOW",1955701.28,27-09-2023,12-02-2024,National Builders & Contractors,Ongoing
WS/10547/2024/00801,Uttar Pradesh,KANPUR,ABHAY KUMAR SINHA,Community Hall,"Multipurpose community centre building at Andouli panchayat, KANPUR",1841640.87,24-07-2024,31-12-2024,National Builders & Contractors,Ongoing
WS/75031/2023/00272,Maharashtra,PUNE,SANJAY DESHMUKH,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, PUNE",2809635.53,26-12-2023,15-12-2024,Progressive Engineers & Contractors,Completed
WS/46428/2023/00598,Bihar,AURANGABAD_BR,ADV K FRANCIS GEORGE,Road Construction,Construction of concrete road from Gandhi Chowk to Andouli in AURANGABAD_BR,1833857.06,17-10-2023,09-10-2024,United Rural Builders,Ongoing
WS/50838/2024/00444,Kerala,ATTINGAL,ADV ADOOR PRAKASH,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, ATTINGAL",1056162.28,18-08-2024,05-02-2025,New India Construction Co.,Sanctioned
WS/93165/2024/00334,Jammu And Kashmir,SRINAGAR,ADHIKARI SOUMENDU,Solar Light Installation,"Solar street light at Andouli chowk parisar, SRINAGAR",128284.01,06-03-2024,24-03-2025,National Builders & Contractors,New Recommendation
WS/45903/2024/00982,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,Drainage / Nala,"Covered drain construction from Panchayat Bhavan Marg to Panchayat Bhavan Marg, AURANGABAD_BR",1128582.53,21-04-2024,26-04-2024,Om Sai Infra Pvt Ltd,Completed
WS/79339/2025/00459,Bihar,GAYA,SANJAY DESHMUKH,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, GAYA",229174.03,26-03-2025,23-06-2025,Jai Hind Infrastructure,New Recommendation
WS/29887/2024/00067,West Bengal,TAMLUK,ABHAY KUMAR SINHA,School Building Repair,"Construction of additional classroom at Shanti Nagar school, TAMLUK",1088445.18,11-11-2024,28-11-2025,Progressive Engineers & Contractors,Completed
WS/68429/2024/00235,Maharashtra,PUNE,ADV ADOOR PRAKASH,Streetlight Installation,"LED streetlight installation along Vivekanand Marg road, PUNE",486083.86,23-10-2024,15-10-2025,Deep Construction Co.,Ongoing
WS/15014/2023/00036,West Bengal,KANTHI,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"Widening and strengthening of road near Ram Nagar village, KANTHI",2290965.3,24-12-2023,23-05-2024,Jai Hind Infrastructure,New Recommendation
WS/22672/2024/00171,West Bengal,HOWRAH,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Subhash Nagar panchayat, HOWRAH",3563278.29,29-12-2024,05-01-2026,Om Sai Infra Pvt Ltd,Ongoing
WS/53399/2023/00500,Maharashtra,NANDURBAR(ST),ABU TAHER KHAN,Road Construction,Construction of concrete road from Ram Nagar to Andouli in NANDURBAR(ST),1910570.69,08-05-2023,19-09-2023,Shree Balaji Construction Co.,New Recommendation
WS/78864/2024/00371,Uttar Pradesh,VARANASI,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Gandhi Chowk hanuman mandir, VARANASI",300436.95,01-04-2024,07-07-2024,Deep Construction Co.,New Recommendation
WS/61987/2025/00208,Maharashtra,NANDURBAR(ST),ADITYA YADAV,Water Supply / Handpump,"Water supply pipeline extension to Gandhi Chowk area, NANDURBAR(ST)",282121.34,12-05-2025,13-03-2026,Ganesh Engineering Works,Ongoing
WS/83680/2025/00428,West Bengal,MURSHIDABAD,ANITA JOSHI,Streetlight Installation,"LED streetlight installation along Bazaar Road road, MURSHIDABAD",474252.15,13-06-2025,18-04-2026,Bharat Infra Solutions,New Recommendation
WS/25842/2023/00712,Kerala,IDUKKI,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, IDUKKI",3804243.39,31-07-2023,02-08-2024,Sri Lakshmi Contractors,Completed
WS/58717/2025/00331,Kerala,ATTINGAL,ADV ADOOR PRAKASH,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, ATTINGAL",2058319.81,09-09-2025,14-04-2026,Sri Lakshmi Contractors,New Recommendation
WS/92716/2023/00826,Uttar Pradesh,VARANASI,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Gandhi Chowk road, VARANASI",595650.8,05-08-2023,21-02-2024,Deep Construction Co.,Sanctioned
WS/59840/2023/00341,Uttar Pradesh,BADAUN,ABHIJIT GANGOPADHYAY,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, BADAUN",785284.01,20-05-2023,16-09-2023,Sri Lakshmi Contractors,Sanctioned
WS/68385/2024/00676,Kerala,IDUKKI,RAJESH KUMAR SHARMA,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, IDUKKI",267278.05,11-04-2024,27-02-2025,Ganesh Engineering Works,Sanctioned
WS/34102/2025/00433,Bihar,PATNA_SAHIB,RAJESH KUMAR SHARMA,Water Supply / Handpump,"Installation of handpump at Andouli village, PATNA_SAHIB",610843.84,14-12-2025,30-09-2026,Sri Lakshmi Contractors,Ongoing
WS/64702/2024/00611,Uttar Pradesh,LUCKNOW,ADITYA YADAV,Solar Light Installation,"Solar light installation near Ambedkar Colony hanuman mandir, LUCKNOW",413969.86,19-12-2024,13-11-2025,United Rural Builders,Completed
WS/59106/2024/00809,Maharashtra,HINGOLI,SANJAY DESHMUKH,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, HINGOLI",337579.05,21-01-2024,27-10-2024,National Builders & Contractors,Ongoing
WS/78271/2023/00794,Jammu And Kashmir,JAMMU,MEERA IYER,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, JAMMU",814132.34,16-08-2023,05-03-2024,New India Construction Co.,Completed
WS/48230/2024/00281,Kerala,ERNAKULAM,ABHAY KUMAR SINHA,Streetlight Installation,"LED streetlight installation along Nehru Path road, ERNAKULAM",405519.33,19-06-2024,23-07-2025,National Builders & Contractors,Ongoing
WS/48729/2024/00679,West Bengal,KANTHI,ABU TAHER KHAN,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, KANTHI",915882.54,02-02-2024,07-08-2024,United Rural Builders,Sanctioned
WS/49602/2024/00325,Kerala,KOTTAYAM,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, KOTTAYAM",1592220.64,14-07-2024,19-01-2025,Ganesh Engineering Works,Sanctioned
WS/93037/2023/00933,Bihar,GAYA,PRIYA VERMA,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, GAYA",569623.54,16-07-2023,25-05-2024,Shree Balaji Construction Co.,Completed
WS/69129/2023/00378,Jammu And Kashmir,SRINAGAR,RAVI SHANKAR PRASAD JI,Road Construction,"Widening and strengthening of road near Panchayat Bhavan Marg village, SRINAGAR",1777435.9,20-11-2023,30-05-2024,Sri Lakshmi Contractors,Sanctioned
WS/24540/2025/00945,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Drainage / Nala,"Construction of drainage/nala near Ambedkar Colony area, AURANGABAD_MH",864694.21,13-01-2025,04-01-2026,Shree Balaji Construction Co.,Completed
WS/31798/2025/00021,Uttar Pradesh,BADAUN,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, BADAUN",899497.73,04-08-2025,10-10-2025,Om Sai Infra Pvt Ltd,Ongoing
WS/86499/2025/00953,Uttar Pradesh,KANPUR,ADITYA YADAV,Community Hall,"Construction of community hall at Shanti Nagar, BARAMULLAH",1932398.79,04-03-2025,23-09-2025,Sri Lakshmi Contractors,Completed
